scenario,sim_id,seed,n,tau_true,dgp,dgp_label,learner,learner_label,strategy,N,M,tau_hat,se,se_iid,se_cr,covers,covers_iid,covers_cr,bias
balkus_original__earth_exact__N20__no_cf,80,7771,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.8731245140588766,0.12675691039191866,0.12675691039191866,0.11997120565636969,1,1,1,-0.17187548594112334
balkus_original__earth_exact__N20__no_cf,81,7772,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.1335805893123223,0.11472091236422352,0.11472091236422352,0.09558835094471792,1,1,1,0.08858058931232238
balkus_original__earth_exact__N20__no_cf,82,7773,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.1121022310902564,0.10459076202947978,0.10459076202947978,0.09004415138421588,1,1,1,0.06710223109025648
balkus_original__earth_exact__N20__no_cf,83,7774,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.8315992474315577,0.09384469680734306,0.09384469680734306,0.11273772918519233,0,0,1,-0.21340075256844226
balkus_original__earth_exact__N20__no_cf,84,7775,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.1245215218162266,0.09493623348824301,0.09493623348824301,0.13017068424586067,1,1,1,0.07952152181622663
balkus_original__earth_exact__N20__no_cf,85,7776,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.9962289947727172,0.10043819267519798,0.10043819267519798,0.10582049434758528,1,1,1,-0.04877100522728273
balkus_original__earth_exact__N20__no_cf,86,7777,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0985017528650003,0.09863442623703947,0.09863442623703947,0.08921005797067726,1,1,1,0.05350175286500036
balkus_original__earth_exact__N20__no_cf,87,7778,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.15478420945824,0.11031048968074428,0.11031048968074428,0.08717007309945225,1,1,1,0.10978420945823997
balkus_original__earth_exact__N20__no_cf,88,7779,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.9991799861268998,0.08869465546739402,0.08869465546739402,0.06867732687458611,1,1,1,-0.045820013873100085
balkus_original__earth_exact__N20__no_cf,89,7780,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.2457726938373335,0.10290950035370106,0.10290950035370106,0.13350379975272839,1,1,1,0.20077269383733354
balkus_original__earth_exact__N20__no_cf,90,7781,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.1978194872902805,0.10705142352287175,0.10705142352287175,0.1251779173559096,1,1,1,0.1528194872902806
balkus_original__earth_exact__N20__no_cf,91,7782,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.2638700369231166,0.13134774370764257,0.13134774370764257,0.1512617673020241,1,1,1,0.21887003692311668
balkus_original__earth_exact__N20__no_cf,92,7783,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.2323507086003038,0.12231506831500143,0.12231506831500143,0.09780766097314673,1,1,1,0.1873507086003039
balkus_original__earth_exact__N20__no_cf,93,7784,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0650138852000957,0.1031688953496203,0.1031688953496203,0.11256949183773514,1,1,1,0.020013885200095727
balkus_original__earth_exact__N20__no_cf,94,7785,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0072234567199423,0.09493655977260426,0.09493655977260426,0.0,1,1,0,-0.03777654328005764
balkus_original__earth_exact__N20__no_cf,95,7786,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.1228174959178758,0.10076531959791957,0.10076531959791957,0.11791766462798127,1,1,1,0.0778174959178759
balkus_original__earth_exact__N20__no_cf,96,7787,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.9637325389415926,0.10650860491286247,0.10650860491286247,0.08466029224554025,1,1,1,-0.08126746105840732
balkus_original__earth_exact__N20__no_cf,97,7788,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0849227419936347,0.10243871472139118,0.10243871472139118,0.1308769213483936,1,1,1,0.03992274199363477
balkus_original__earth_exact__N20__no_cf,98,7789,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.2443544959643846,0.10704573541994152,0.10704573541994152,0.13724339999028853,1,1,1,0.1993544959643847
balkus_original__earth_exact__N20__no_cf,99,7790,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.8464650218570585,0.10633438853067138,0.10633438853067138,0.13317332592613126,1,1,1,-0.1985349781429414
