scenario,sim_id,seed,n,tau_true,dgp,dgp_label,learner,learner_label,strategy,N,M,tau_hat,se,se_iid,se_cr,covers,covers_iid,covers_cr,bias
balkus_fullgrid__deep_rf__N20_M20__no_cf,54,7745,400,1.1020836108811372,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.48043715117457786,0.043926838811128605,0.043926838811128605,0.07771430327585735,0,0,0,-0.6216464597065593
balkus_fullgrid__deep_rf__N20_M20__no_cf,55,7746,400,1.0097460571559838,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.23730306492851208,0.05167600668115607,0.05167600668115607,0.056683011651365175,0,0,0,-0.7724429922274717
balkus_fullgrid__deep_rf__N20_M20__no_cf,56,7747,400,1.0406537287748745,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.5809641398422808,0.045242630450273914,0.045242630450273914,0.07139766255932349,0,0,0,-0.4596895889325937
balkus_fullgrid__deep_rf__N20_M20__no_cf,57,7748,400,1.0148543651431001,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.4292376287736115,0.05901467459265627,0.05901467459265627,0.03142602677278617,0,0,0,-0.5856167363694886
balkus_fullgrid__deep_rf__N20_M20__no_cf,58,7749,400,1.029805255814832,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.5376080753163923,0.04240094350965187,0.04240094350965187,0.047314038429733404,0,0,0,-0.49219718049843975
balkus_fullgrid__deep_rf__N20_M20__no_cf,59,7750,400,1.0020285261609805,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.3746164346835538,0.04071450206566772,0.04071450206566772,0.06069046438608967,0,0,0,-0.6274120914774266
balkus_fullgrid__deep_rf__N20_M20__no_cf,60,7751,400,0.9608920977444219,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.4010745578575119,0.04517438323082051,0.04517438323082051,0.04658543258724295,0,0,0,-0.55981753988691
balkus_fullgrid__deep_rf__N20_M20__no_cf,61,7752,400,0.9625909882944619,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.39840068652282684,0.03989996172825143,0.03989996172825143,0.06905753352193064,0,0,0,-0.564190301771635
balkus_fullgrid__deep_rf__N20_M20__no_cf,62,7753,400,1.0148268135670158,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.4641565063779127,0.038202601174948544,0.038202601174948544,0.057574354553527024,0,0,0,-0.550670307189103
balkus_fullgrid__deep_rf__N20_M20__no_cf,63,7754,400,1.008443486652213,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.5000955200215633,0.0463493180635127,0.0463493180635127,0.013312126782574875,0,0,0,-0.5083479666306496
balkus_fullgrid__deep_rf__N20_M20__no_cf,64,7755,400,1.000265927204388,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.46146177295433477,0.04460049751914366,0.04460049751914366,0.07951193101398722,0,0,0,-0.5388041542500531
balkus_fullgrid__deep_rf__N20_M20__no_cf,65,7756,400,1.0005824827634278,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.500022338414566,0.0464899910049517,0.0464899910049517,0.033522941123322055,0,0,0,-0.5005601443488618
balkus_fullgrid__deep_rf__N20_M20__no_cf,66,7757,400,0.9999263305317398,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.493398680838666,0.0458971908000403,0.0458971908000403,0.053749951909877774,0,0,0,-0.5065276496930738
balkus_fullgrid__deep_rf__N20_M20__no_cf,67,7758,400,0.9539474187224011,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.4528810364760058,0.04812134996001545,0.04812134996001545,0.08326971355968495,0,0,0,-0.5010663822463952
balkus_fullgrid__deep_rf__N20_M20__no_cf,68,7759,400,0.8446627793090176,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.5156947533482754,0.05784730207344939,0.05784730207344939,0.06694890180778577,0,0,0,-0.32896802596074215
balkus_fullgrid__deep_rf__N20_M20__no_cf,69,7760,400,1.02466609086096,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.41146754748889036,0.05356829655023524,0.05356829655023524,0.06938998317384518,0,0,0,-0.6131985433720696
balkus_fullgrid__deep_rf__N20_M20__no_cf,70,7761,400,0.9295331617322937,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.6384249725178109,0.060141271656436956,0.060141271656436956,0.12592477936241805,0,0,0,-0.2911081892144828
balkus_fullgrid__deep_rf__N20_M20__no_cf,71,7762,400,0.9850664901605345,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.6185897844862986,0.04798463022998211,0.04798463022998211,0.07910772623767484,0,0,0,-0.36647670567423585
balkus_fullgrid__deep_rf__N20_M20__no_cf,72,7763,400,1.075108672968866,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.5812343464618577,0.05750580059205919,0.05750580059205919,0.11387300494764344,0,0,0,-0.49387432650700824
balkus_fullgrid__deep_rf__N20_M20__no_cf,73,7764,400,1.1789282275520254,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.5505702141313807,0.05483760945729223,0.05483760945729223,0.09028784394653412,0,0,0,-0.6283580134206447
balkus_fullgrid__deep_rf__N20_M20__no_cf,74,7765,400,0.9681191412108855,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.3863272617971728,0.04946118929723088,0.04946118929723088,0.053873359736044076,0,0,0,-0.5817918794137127
balkus_fullgrid__deep_rf__N20_M20__no_cf,75,7766,400,1.0274080349324215,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.6370426749422765,0.05839746902032372,0.05839746902032372,0.07425725271389702,0,0,0,-0.390365359990145
